id,city,year,cultural_expenditure_budget,cultural_expenditure_final,bureau_budget,bureau_final,total_budget,bureau_scope_note,methodology,official_source_title,official_source_url,key_policies,last_verified,notes
government-2011-01,新北市,2011,2592281000,2307585000,1776647000,1617719000,155203341000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2011-02,臺北市,2011,6193795000,5861766000,2566691000,2460706000,179638340000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2011-03,桃園市,2011,599213000,490556000,386533000,312398000,62105000000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2011-04,臺中市,2011,2392930000,2019044000,1132424000,902582000,105475439000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2011-05,臺南市,2011,981545000,869519000,883063000,786387000,84117705000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2011-06,高雄市,2011,2784963000,2565492000,1829984000,1708624000,134992957000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2011-07,宜蘭縣,2011,537900000,511408000,441821000,422977000,21637016000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2011-08,新竹縣,2011,314897000,253590000,308909000,249023000,27604314000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2011-09,苗栗縣,2011,4044766000,937410000,4006140000,912797000,41487474000,文化局（處）為文化觀光局（處），預決算包含觀光經費。,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
government-2011-10,彰化縣,2011,579510000,481375000,571586000,476515000,39323117000,,政事別文化支出與文化局（處）機關別預決算分開呈現；原始表單位為千元，本站換算為元。,文化部文化統計網－2025年編印（歷年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,,2026-09-06,來源檔：20260906_1104地方文化支出及地方文化局預決算.xlsx
